University,Employer Interest Index
Galatasaray Üniversitesi,88.3
Sabancı Üniversitesi,86.5
Koç Üniversitesi,80.7
Boğaziçi Üniversitesi,79.8
İstanbul Teknik Üniversitesi (İTÜ),76.9
Yıldız Teknik Üniversitesi (YTÜ),68.9
Özyeğin Üniversitesi,62.9
Orta Doğu Teknik Üniversitesi (ODTÜ),61.5
Gebze Teknik Üniversitesi,61.3
Türk-Alman Üniversitesi,60.0
Doğuş Üniversitesi,59.6
İhsan Doğramacı Bilkent Üniversitesi,58.3
Işık Üniversitesi,58.1
Bahçeşehir Üniversitesi,58.0
Yeditepe Üniversitesi,57.0
İzmir Yüksek Teknoloji Enstitüsü,56.6
Marmara Üniversitesi,56.5
TOBB Ekonomi ve Tek. Üniversitesi,55.9
Kadir Has Üniversitesi,55.8
İstanbul Ticaret Üniversitesi,55.6
İstanbul Üniversitesi - Cerrahpaşa,54.6
Beykent Üniversitesi,54.1
İstanbul Bilgi Üniversitesi,53.1
Okan Üniversitesi,52.5
İstanbul Üniversitesi (İÜ),52.3
Orta Doğu Teknik Üniversitesi KKK,51.1
İzmir Ekonomi Üniversitesi,48.9
Mimar Sinan Güzel Sanatlar Üniversitesi,48.6
İstanbul Kültür Üniversitesi,48.1
Sakarya Uygulamalı Bilimler Üniversitesi,48.0
Altınbaş Üniversitesi,47.8
Kocaeli Üniversitesi,47.8
İstanbul Aydın Üniversitesi,47.6
Haliç Üniversitesi,47.4
Eskişehir Teknik Üniversitesi,46.3
Yaşar  Üniversitesi,45.4
Maltepe Üniversitesi,44.9
İstanbul Arel Üniversitesi,44.9
Anadolu Üniversitesi,43.5
Ege Üniversitesi,43.3
Çankaya Üniversitesi,43.1
Sakarya Üniversitesi,43.0
Namık Kemal Üniversitesi,42.9
İstanbul Bilim Üniversitesi,42.9
Dokuz Eylül Üniversitesi,42.7
Trakya Üniversitesi,42.2
Gedik Üniversitesi,42.1
İstanbul Yeni Yüzyıl Üniversitesi,42.0
Atılım Üniversitesi,41.8
Hacettepe Üniversitesi,40.2
Uludağ Üniversitesi,40.1
Nişantaşı Üniversitesi,39.3
Yalova Üniversitesi,39.1
Bursa Teknik Üniversitesi,38.8
İstanbul Gelişim Üniversitesi,38.8
Düzce Üniversitesi,38.6
Başkent Üniversitesi,38.4
Gazi Üniversitesi,38.2
Eskişehir Osmangazi Üniversitesi,37.8
MEF Üniversitesi,37.4
Gaziantep Üniversitesi,36.9
Konya Teknik Üniversitesi,36.1
Akdeniz Üniversitesi,36.0
Acıbadem Üniversitesi,35.8
Balıkesir Üniversitesi,35.6
Manisa Celal Bayar Üniversitesi,35.3
Karadeniz Teknik Üniversitesi (KTÜ),35.3
Isparta Uygulamalı Bilimler Üniversitesi,35.3
Çanakkale 18 Mart Üniversitesi,35.2
Ankara Üniversitesi,35.0
Karabük Üniversitesi,34.5
Bezmiâlem Vakıf Üniversitesi,34.4
Çukurova Üniversitesi,34.2
Piri Reis Üniversitesi,34.1
Türk Hava Kurumu Üniversitesi,34.0
İskenderun Teknik Üniversitesi,33.8
Muğla Sıtkı Koçman Üniversitesi,33.7
Erciyes Üniversitesi,33.6
Üsküdar Üniversitesi,33.6
Bülent Ecevit Üniversitesi,33.4
Fatih Sultan Mehmet Üniversitesi,33.2
İstanbul Medeniyet Üniversitesi,33.2
Selçuk Üniversitesi,33.0
İstanbul Sabahattin Zaim Üniversitesi,32.8
TED Üniversitesi,32.8
Abant İzzet Baysal Üniversitesi,32.7
İstanbul Medipol Üniversitesi,32.5
Çağ Üniversitesi,32.5
Bilecik Şeyh Edebali Üniversitesi,32.4
Antalya Bilim Üniversitesi,32.2
Kırklareli Üniversitesi,32.1
Dumlupınar Üniversitesi,32.0
Ankara Hacı Bayram Veli Üniversitesi,31.7
Ondokuz Mayıs Üniversitesi,31.3
KTO Karatay Üniversitesi,31.3
Abdullah Gül Üniversitesi,31.2
Fırat Üniversitesi,30.9
Süleyman Demirel Üniversitesi,30.9
Pamukkale Üniversitesi,30.9
Mersin Üniversitesi,30.8
İzmir Kâtip Çelebi Üniversitesi,30.7
Ankara Yıldırım Beyazıt Üniversitesi,30.7
Kırıkkale Üniversitesi,30.5
Tarsus Üniversitesi,30.5
Afyon Kocatepe Üniversitesi,30.4
Biruni Üniversitesi,30.3
Bartın Üniversitesi,30.1
Bayburt Üniversitesi,30.1
Avrasya Üniversitesi,30.0
Toros Üniversitesi,30.0
Sivas Cumhuriyet Üniversitesi,29.9
Kütahya Sağlık Bilimleri Üniversitesi,29.7
Adana Bilim ve Teknoloji Üniversitesi,29.5
Kayseri Üniversitesi,29.1
Nevşehir Hacı Bektaş Veli Üniversitesi,29.1
Adnan Menderes Üniversitesi,29.0
İstanbul 29 Mayıs Üniversitesi,28.5
Ufuk Üniversitesi,28.4
Mehmet Akif Ersoy Üniversitesi,28.0
İstanbul Esenyurt Üniversitesi,27.9
Uşak Üniversitesi,27.7
Atatürk Üniversitesi,27.5
Ordu Üniversitesi,27.3
Alanya Alaaddin Keykubat Üniversitesi,27.2
Harran Üniversitesi,27.2
Osmaniye Korkut Ata Üniversitesi,27.2
Samsun Üniversitesi,27.1
Bandırma Onyedi Eylül Üniversitesi,27.1
Bozok Üniversitesi,27.0
Aksaray Üniversitesi,26.5
Gümüşhane Üniversitesi,26.3
Hasan Kalyoncu - Gazikent Üniversitesi,26.3
Ömer Halisdemir  Üniversitesi,26.2
Nuh Naci Yazgan Üniversitesi,25.7
Gaziosmanpaşa Üniversitesi,25.7
Munzur Üniversitesi,25.7
Trabzon Üniversitesi,25.6
Hitit Üniversitesi,25.5
İnönü Üniversitesi,25.5
Kahramanmaraş Sütçü İmam Üniversitesi,25.2
Necmettin Erbakan Üniversitesi,24.7
Giresun Üniversitesi,24.6
Afyonkarahisar Sağlık Bilimleri Üniversitesi,24.6
Sinop Üniversitesi,24.5
Mustafa Kemal Üniversitesi,24.4
Kastamonu Üniversitesi,24.3
Çankırı Karatekin Üniversitesi,24.2
Karamanoğlu Mehmetbey Üniversitesi,24.2
Dicle Üniversitesi,24.0
Erzurum Teknik Üniversitesi,23.8
Rize Recep Tayyip Erdoğan Üniversitesi,23.8
Kafkas Üniversitesi,23.8
Artvin Çoruh Üniversitesi,23.6
Şırnak Üniversitesi,23.3
Mardin Artuklu Üniversitesi,23.0
Bitlis Eren Üniversitesi,22.9
Turgut Özal Üniversitesi,22.6
Iğdır Üniversitesi,22.5
Amasya Üniversitesi,22.3
Ardahan Üniversitesi,21.6
Batman Üniversitesi,21.5
Yüzüncü Yıl Üniversitesi,21.3
Ahi Evran Üniversitesi,20.7
Erzincan Üniversitesi,20.6
Bingöl Üniversitesi,20.1
Hakkari Üniversitesi,20.0
Kilis 7 Aralık Üniversitesi,20.0
Siirt Üniversitesi,19.8
Muş Alparslan Üniversitesi,19.0
Adıyaman Üniversitesi,18.9
Ankara Sosyal Bilimler Üniversitesi,18.7
Ağrı İbrahim Çeçen Üniversitesi,17.9
Sağlık Bilimleri Üniversitesi,16.2
İzmir Bakırçay Üniversitesi,14.6
