total_participants, male, female 
-, -, -
267, 94.8, 5.2
1.519, 84.9, 15.1
908, 87.8, 12.2
390, 70.8, 29.2
2.499, 38.2, 61.7
6.738, 24.1, 75.9
1.734, 35.5, 64.8
852, 46.8, 53.2
5.487, 41.2, 58.8
-, -, -
-, -, -
434, 83, 17
642, 18.3, 81.8
567, 58.3, 41.8
425, 69.2, 30.8
280, 79.8, 20.2
-, -, -
15.152, 68.4, 31.6
206, 85.3, 14.7
67, 53.7, 46.3
210, 64.7, 35.2
-, -, -
-, -, -
105, 84.8, 15.2
143, 81.8, 18.2
4.166, 83.9, 16.2
360, 88.4, 11.7
1.341, 63, 37
-, -, -
61, 78.2, 21.8
492, 43.2, 56.9
246, 65.8, 34.2
255, 47.5, 52.5
-, -, -
508, 44.3, 55.7
194, 37.2, 62.8
511, 14.8, 85.2
1.748, 89.6, 10.4
179, 50.9, 49.2
351, 78.9, 21.1
262, 50.9, 49.2
289, 29.4, 70.6
568, 25.6, 74.5
202, 25.3, 74.8
1.228, 24.9, 75.1
431, 23.2, 76.8
125, 33.6, 66.4
1.954, 39.1, 60.9
510, 54.5, 45.5
2.475, 58.8, 41.2
614, 66, 34
1.272, 73.1, 26.9
851, 60.2, 39.8
6.656, 88.8, 11.2
11.430, 34.1, 65.9
2.468, 37.2, 62.8
299, 49.8, 50.5
2.733, 40.6, 59.4
6.282, 32.4, 67.6
2.764, 41.2, 58.8
69, 72.3, 27.7
228, 87.6, 12.4
317, 87.9, 12.1
101, 90.1, 9.9
52, 92.2, 7.8
994, 87, 13.4
-, -, -
2.986, 81.2, 18.8
1.773, 90.2, 9.9
1.598, 79.8, 20.2
388, 60.8, 39.2
788, 74.2, 25.8
331, 70.1, 29.9
306, 63.4, 36.6
1.748, 65.2, 34.8
3.549, 82.1, 19.1
398, 83.4, 16.6
-, -, -
1.572, 51.1, 49
1.476, 38.5, 61.5
19.293, 56.2, 43.8
51.088, 61.4, 38.6
36.344, 40.6, 59.5
5.438, 65, 35
24.477, 93.3, 6.7
118, 97.8, 2.2
98, 89.7, 10.3
1.490, 86.7, 13.9
14.249, 85.8, 14.2
10.838, 80.1, 19.9
635, 71.4, 28.6
4.034, 86.6, 13.4
1.114, 87.1, 13.5
127, 90.6, 9.4
1.036, 85.2, 14.8
1.139, 19.8, 82.1
1.008, 11.9, 88.1
62, 48, 52
452, 57.3, 42.7
194, 68, 31.9
1.029, 77.5, 22.5
249, 68.3, 31.7
2.687, 74.5, 25.4
1.075, 53.5, 46.5
381, 41.2, 58.8
897, 49.4, 50.6
350, 54, 46
106, 56.6, 43.4
3.124, 61.6, 38.4
103, 69, 31.1
160, 62.5, 37.5
1.266, 74.6, 25.4
149, 78.5, 21.5
433, 56.6, 43.4
224, 61.8, 38.2
450, 45.8, 54.2
-, -, -
507, 13.4, 86.6
567, 44.4, 55.6
427, 35, 65
199, 38.7, 61.3
-, -, -
109, 14.7, 85.3
1.184, 27.2, 72.8
306, 48.4, 51.6
624, 41.2, 58.7
272, 30.7, 69.3
611, 29.3, 70.7
356, 7.7, 92.8
51, 56.8, 43.3
31.307, 33.6, 66.3
-, -, -
263, 34.7, 65.3
163, 55.4, 44.6
56, 42.9, 57.1
332, 41, 59
70, 51.3, 48.7
82, 95.1, 4.9
792, 98.3, 1.6
2.419, 96.2, 3.8
81, 97.5, 2.5
211, 91.4, 8.5
840, 94.6, 5.6
1.816, 95.7, 4.5
171, 93.8, 7.8
657, 92.1, 7.8
865, 84.3, 15.8
890, 87.3, 12.6
259, 94.3, 5.7
79, 90.7, 9.3
13.876, 52.5, 47.5
119, 50.3, 49.7
129, 15.2, 84.8
9.081, 39.6, 60.4
150, 37.7, 62.3
109, 72.7, 27.3
492, 78.4, 21.6
138, 92.7, 7.3
-, -, -
-, -, -
471, 80, 20
55, 38.4, 61.6
1.720, 42.7, 57.3
652, 63, 37
-, -, -
316, 55.8, 44.1
350, 28.6, 71.4
262, 34.4, 65.6
-, -, -
11.627, 36.5, 63.5
601, 51.8, 48.2
712, 57.9, 42.1
490, 24.5, 75.5
1.017, 26.2, 73.8
1.039, 85.1, 14.9
1.088, 91.5, 8.6
136, 85.1, 14.9
336, 86, 14
1.264, 82.9, 17.1
102, 7.9, 92.2
1.942, 12.6, 87.4
598, 43.6, 56.3
5.957, 18.7, 81.2
4.278, 9.1, 90.9
220, 67, 33
460, 23, 76.9
6.326, 69.1, 30.9
56, 52.4, 47.6
100, 90, 10
301, 88.7, 11.3
5.999, 89.3, 10.7
274, 60.7, 39.3
3.318, 49.2, 50.7
9.884, 30.6, 69.5
103.879, 31.4, 68.6
15.131, 62.9, 37.1
739, 26, 74.9
34.196, 39.4, 60.7
2.296, 38.4, 61.6
9.282, 45.1, 54.8
2.767, 62.5, 37.6
7.056, 40.6, 59.4
278, 48.6, 51.4
2.414, 46.3, 53.8
-, -, -
204, 70.6, 29.4
3.159, 82.9, 17.1
52, 70.5, 29.5
122, 82.1, 17.9
22.107, 57.8, 42.2
11.968, 75.6, 24.4
-, -, -
17.287, 39.1, 61
381, 40.7, 59.3
99, 43.4, 56.6
3.560, 26.7, 73.3
8.144, 31.7, 68.3
2.688, 19.7, 80.3
55.916, 33.2, 66.8
338, 83.7, 16.3
4.162, 40.6, 59.4
-, -, -
-, -, -
-, -, -
246, 94.3, 5.7
494, 93.3, 6.7
-, -, -
393, 33, 67
242, 33.2, 66.8
-, -, -
-, -, -
-, -, -
51, 18.5, 81.5
305, 54, 45.9
133, 30.1, 69.9
-, -, -
404, 34.2, 65.8
1.728, 31, 68.9
2.010, 54.7, 45.3
9.001, 8.2, 91.8
801, 37.8, 62.2
-, -, -
213, 51.8, 49.9
2.427, 56.5, 43.5
795, 79.2, 20.8
72, 81.8, 18.3
1.554, 64.7, 35.3
4.563, 77.6, 22.4
5.092, 60.2, 39.8
953, 76.6, 23.4
2.888, 53.7, 46.3
2.158, 54.2, 45.9
29.969, 77.7, 22.3
592, 71, 29
101, 63.4, 36.6
1.565, 39.3, 60.7
-, -, -
171, 28.1, 71.9
738, 64.7, 35.3
-, -, -
220, 65.6, 34.4
899, 62.3, 37.7
73, 33.5, 66.5
83, 34.7, 66
233, 39, 61.1
114, 50.4, 49.6
-, -, -
174, 89.6, 10.4
-, -, -
1.139, 72.3, 28.6
2.950, 92.2, 7.8
98, 89.7, 10.3
835, 92.5, 7.5
1.043, 93.5, 6.5
621, 91.2, 8.8
233, 78.7, 21.3
3.128, 79.9, 20
-, -, -
-, -, -
-, -, -
219, 91, 9
2.788, 57.5, 42.5
6.035, 46.4, 53.6
1.083, 56.1, 43.9
55.487, 30.1, 69.9
4.956, 42.2, 57.8
62.582, 20.6, 79.4
256, 51.9, 48.1
10.313, 90, 10
-, -, -
4.031, 50, 50.1
1.656, 70.2, 29.8
112, 42.9, 57.1
122, 40.9, 59
788, 24.5, 75.5
-, -, -
199, 51.2, 50.2
300, 33.6, 66.3
481, 58.1, 41.8
3.165, 68.6, 32.7
10.284, 77.9, 22.1
-, -, -
462, 24.7, 75.3
4.718, 60.4, 39.6
3.651, 45.9, 54.2
202, 54, 46
146, 22.5, 77.5
93, 43.4, 56.6
52, 28.1, 71.9
237, 34.7, 65.3
330, 65.5, 34.5
-, -, -
2.663, 63, 37
455, 42.9, 57.1
2.900, 51.4, 48.6
2.630, 65.1, 34.9
-, -, -
-, -, -
325, 78.2, 23.2
2.907, 28.9, 71.1
502, 35.5, 64.6
92, 22.8, 77.2
408, 92.2, 7.9
-, -, -
1.277, 9.7, 90.4
812, 90, 10
64, 67.1, 32.9
339, 18.3, 81.7
1.431, 71.2, 28.7
3.107, 38.6, 61.3
1.374, 71.2, 28.8
2.599, 56.8, 43.2
2.059, 53.1, 46.9
220, 52.7, 47.3
10.632, 90.9, 9.2
104, 77.2, 22.8
2.172, 68.8, 31.1
-, -, -
-, -, -
-, -, -
-, -, -
423, 48, 52
1.679, 60.3, 39.7
4.209, 84.3, 15.7
349, 55, 45
190, 67.7, 32.3
3.609, 36.3, 63.6
1.840, 50.4, 49.5
303, 54.8, 45.2
458, 79, 21
252, 77.8, 22.2
744, 40.5, 59.5
13.440, 76.9, 23.8
8.897, 74.2, 25.7
762, 63, 38.6
5.956, 60.8, 39.2
588, 75.1, 24.8
6.551, 61.1, 38.8
-, -, -
875, 55.5, 44.6
80, 48.5, 51.4
-, -, -
464, 19.5, 80.6
228, 44.6, 55.4
6.304, 17.1, 82.9
2.022, 28.9, 71.1
189, 22.6, 78.7
2.381, 87.8, 12.2
140, 88.4, 11.5
107, 30.4, 69.6
1.010, 13.2, 86.9
7.431, 48, 52
2.497, 45.2, 54.8
468, 53.5, 46.5
1.096, 39.4, 60.6
700, 45, 55
2.194, 38.3, 61.7
-, -, -
272, 28.5, 71.5
9.175, 19.9, 80.1
3.747, 25.8, 74.2
121, 67.8, 32.2
668, 45.4, 54.6
521, 41.2, 58.7
475, 39.9, 60.1
470, 26.1, 73.9
460, 57, 44.6
61, 45.9, 54.1
253, 65.2, 34.8
32.075, 47.5, 52.5
1.887, 18, 82
3.353, 81, 19
469, 32.1, 67.9
1.086, 27.5, 72.5
9.988, 62.5, 37.5
68, 91.2, 8.8
63, 93.7, 6.3
-, -, -
72, 40.3, 59.7
126, 65.9, 34.1
110, 91.8, 8.2
89, 34.8, 65.2
213, 51.2, 48.9
-, -, -
359, 56.4, 43.6
302, 57.3, 42.7
511, 9, 91
719, 20.3, 79.7
174, 28.5, 71.5
223, 44.5, 55.6
96, 58.1, 41.8
2.264, 79.2, 20.8
2.962, 43.5, 56.5
1.892, 38.2, 61.8
675, 39.5, 60.6
1.083, 72.8, 27.2
7.406, 92.9, 7.1
810, 91.3, 8.7
3.622, 68.7, 31.3
1.386, 84.8, 15.8
3.107, 77.6, 22.3
1.684, 81.4, 18.6
-, -, -
1.182, 61, 39
989, 13.4, 86.5
804, 56.6, 43.4
-, -, -
166, 48.2, 51.8
196, 61.2, 38.8
229, 53.7, 46.3
605, 70.2, 29.8
4.279, 50.5, 49.5
4.823, 76.9, 23.1
1.670, 62, 38
6.810, 60.5, 39.5
854, 46.7, 53.3
5.934, 56.7, 43.3
234.702, 46.6, 53.3
3.984, 31.4, 68.5
2.530, 76.3, 23.7
12.046, 45, 55
372, 63.4, 36.5
294, 70.1, 29.9
16.556, 74.9, 25.1
5.098, 75.3, 24.7
341, 68.3, 31.7
1.326, 43.3, 56.7
829, 34.6, 65.4
10.052, 70.7, 29.3
3.409, 71.6, 28.3
2.720, 65.5, 34.6
13.144, 55, 45
40.711, 59.1, 40.9
6.295, 60.3, 39.7
482, 78.1, 21.8
2.413, 75.2, 24.8
1.625, 66, 34
359, 47.7, 52.3
57, 85.7, 14.3
252, 42.9, 57.2
108, 89.8, 10.2
317, 71.2, 28.8
103, 58.3, 41.7
66.280, 6.3, 93.8
269, 55.6, 44.4
-, -, -
127, 48.6, 51.4
501, 74.6, 25.4
1.923, 40.3, 59.6
6.291, 89.1, 10.8
165, 90.7, 9.3
174, 87.5, 12.5
85, 90.6, 9.4
350, 90.4, 9.6
52, 76.9, 23.1
209, 47.5, 52.5
502, 84.7, 15.3
1.986, 33.3, 66.7
56, 82.2, 17.8
21.388, 25.9, 74.1
4.168, 23.7, 76.2
218, 56.2, 43.8
4.717, 24.6, 75.4
284, 44.9, 55.1
-, -, -
1.013, 38.4, 61.6
238, 30.6, 70.9
-, -, -
-, -, -
9.387, 85.5, 14.5
288, 44.7, 55.3
790, 49.7, 50.2
228, 86, 14
1.693, 93.6, 6.4
205, 62.9, 37.1
67, 85.1, 14.9
1.633, 81.6, 18.4
927, 90.1, 9.9
214, 91.6, 8.4
629, 90.1, 9.9
1.733, 40.6, 59.4
178, 52.3, 47.8
346, 94.8, 5.2
86, 85.3, 14.7
301, 91.7, 8.3
8.915, 34, 66
80, 59.5, 40.5
83, 53, 47
952, 28, 72
1.035, 30.3, 69.7
477, 38.8, 61.1
553, 41.5, 58.5
223, 38.2, 61.7
-, -, -
69, 40.6, 59.4
2.150, 44.5, 55.4
932, 44, 56
279, 45.4, 54.6
1.148, 22, 78.1
1.763, 91.1, 8.9
88, 83.8, 16.2
299, 92.6, 7.4
154, 42.9, 57.1
3.836, 50.7, 49.3
131, 60.6, 39.4
196.200, 39.9, 60.1
6.828, 36.6, 63.4
12.788, 23.3, 76.8
21.056, 17.7, 82.3
-, -, -
-, -, -
183, 54, 46.1
310, 63.1, 36.9
446, 26.2, 73.7
1.746, 8, 92
1.026, 74.9, 25.1
157, 61.7, 38.2
253, 49, 51
82, 75.6, 24.4
-, -, -
664, 65.2, 34.8
-, -, -
1.393, 91.2, 8.8
5.004, 68.8, 31.3
64, 75, 25
1.690, 76.9, 23.1
305, 91.5, 8.5
247, 92.3, 7.7
-, -, -
-, -, -
688, 95, 4.9
1.650, 90.8, 9.2
21.330, 91.5, 8.5
-, -, -
1.495, 30.2, 69.8
45.957, 90.6, 9.4
1.822, 32.4, 67.5
621, 83.9, 16.1
331, 31, 69
300, 48.3, 51.7
505, 89, 11
800, 46.2, 53.9
9.879, 37.3, 62.8
1.826, 14.9, 85.1
2.117, 47.4, 52.6
264, 52, 48
1.932, 84.7, 15.4
998, 66.1, 33.9
1.048, 88.6, 11.4
121, 82.2, 17.9
738, 71.4, 28.6
546, 46.7, 53.3
319, 59.9, 40.1
-, -, -
583, 56.8, 43.2
1.027, 57.1, 42.9
1.923, 86.4, 13.6
142, 88.8, 11.2
773, 73.5, 26.6
6.075, 71.9, 28.1
30.068, 88.5, 11.5
59, 74.9, 25.1
428, 74.6, 25.5
465, 71.4, 28.6
246, 26.4, 73.7
1.277, 47.5, 52.5
-, -, -
1.373, 41.3, 58.7
-, -, -
834, 37.9, 63.2
321, 81.8, 18.2
70, 45.9, 54.2
87, 87, 13
495, 64.8, 35.2
-, -, -
360, 38.1, 62
2.807, 38.3, 61.7
-, -, -
2.000, 52.3, 47.7
1.087, 68.6, 31.4
185, 63.5, 36.5
550, 47.1, 52.9
182, 30.5, 69.5
7.569, 68.6, 31.4
5.309, 71.4, 28.7
7.501, 14.8, 85.2
2.507, 72.6, 27.4
1.444, 68.9, 31.1
417, 35.6, 64.5
-, -, -
267, 41.4, 58.6
2.389, 63.2, 36.8
6.183, 90.2, 9.9
63, 88.9, 11.1
301, 58.5, 41.5
539, 58.4, 41.6
516, 57.9, 42.1
53, 48.5, 51.5
-, -, -
221, 90.3, 10.7
4.139, 94.9, 5.1
99, 72.8, 27.2
158, 85.9, 14.1
484, 53.4, 46.5
2.739, 63, 37
-, -, -
-, -, -
11.752, 29, 70.9
14.720, 26.5, 73.5
84, 76.8, 23.2
223, 87.8, 12.3
82, 89.8, 10.2
2.471, 94.4, 6.8
-, -, -
226, 85.2, 14.9
-, -, -
1.210, 94.4, 5.6
-, -, -
71, 66.8, 33.2
-, -, -
-, -, -
261, 44.5, 55.5
172, 44.8, 55.3
351, 71.8, 28.2
233, 42.1, 57.9
4.439, 92.2, 7.8
251, 11.6, 88.5
3.595, 57.9, 42.1
269, 12.7, 87.4
4.656, 48.8, 51.2
2.288, 47.1, 52.9
11.832, 29.1, 71.3
28.381, 67.4, 32.6
8.098, 82, 18
9.061, 81.3, 18.6
9.729, 77.3, 22.7
1.106, 73.6, 26.4
3.497, 54.4, 45.6
3.469, 57.3, 42.8
1.061, 54.3, 45.7
3.004, 86.1, 13.9
-, -, -
205, 89.7, 10.3
1.013, 78.5, 21.5
395, 55.4, 44.6
3.314, 50.9, 49.1
259, 55.9, 44.1
1.873, 62.8, 37.2
1.218, 47.5, 52.4
-, -, -
-, -, -
8.594, 89.5, 10.5
4.745, 61.6, 38.4
1.084, 28.9, 71.1
-, -, -
216, 49.8, 50.1
363, 53.2, 46.8
92, 41.3, 58.7
-, -, -
495, 83.2, 16.8
244, 47.1, 52.8
-, -, -
-, -, -
215, 65.6, 34.4
504, 50.4, 49.6
348, 49.2, 50.9
237, 73.8, 26.2
6.457, 35.9, 64.1
1.637, 49.7, 50.3
710, 44, 55.9
1.442, 48.2, 51.9
53, 58.2, 41.7
-, -, -
88, 92, 7.9
-, -, -
-, -, -
93, 79.4, 20.6
75, 78.6, 21.3
196, 70.9, 29.1
406, 79.8, 20.2
-, -, -
-, -, -
86, 69.8, 30.2
-, -, -
4.641, 72.6, 27.4
3.598, 28.6, 71.4
744, 76.8, 23.2
334, 76.8, 23.3
3.352, 89.7, 10.3
257, 40.6, 59.4
-, -, -
325, 37.1, 63
767, 78.8, 21.2
961, 78.6, 21.4
233, 83.7, 16.3
700, 81.1, 18.9
722, 72.9, 27.1
810, 88.2, 11.8
1.490, 91, 9
205, 61, 39
95, 71.6, 28.4
-, -, -
317, 77, 23
210, 39.6, 60.4
280, 87.2, 12.9
228, 84, 16
-, -, -
729, 61.3, 38.7
8.166, 6.4, 93.5
1.433, 42.9, 57
456, 42.6, 57.4
740, 92.2, 7.8
529, 55.2, 44.8
557, 54.8, 45.3
216, 45.4, 54.6
306, 66.1, 34.7
481, 45.2, 54.8
582, 78.2, 21.8
268, 69.4, 30.6
1.550, 69.5, 30.5
176, 93.1, 6.8
2.740, 76.9, 23.2
678, 92.6, 7.3
5.799, 83.9, 16.2
536, 91.8, 8.2
277, 92.8, 7.2
4.998, 77.5, 22.5
2.522, 63.2, 36.8
346, 89.3, 10.7
1.019, 55.4, 44.6
-, -, -
569, 52.5, 47.4
453, 65.1, 34.9
4.439, 80.3, 19.8
-, -, -
81, 77.5, 22.5
-, -, -
83, 70, 30
557, 36.6, 63.4
2.423, 14, 85.9
-, -, -
980, 33.7, 66.3
1.618, 91.6, 8.5
5.086, 44.4, 55.6
37.954, 13.6, 86.3
1.289, 68.5, 31.5
1.083, 80.3, 19.7
176, 35, 65.1
412, 45.7, 54.4
1.001, 33, 67
476, 32.5, 67.5
116, 26.3, 74.6
87, 8.6, 91.4
449, 78, 22
85, 33.8, 66.2
235, 34, 66
188, 25.6, 74.3
77, 84.2, 15.8
679, 62.1, 37.8
414, 71.6, 28.4
316, 94.8, 5.2
1.581, 27, 73.1
107, 66.4, 33.7
293, 77.8, 22.2
9.370, 60.4, 39.6
1.952, 52, 48
99, 64.7, 35.3
408, 52.2, 47.7
81, 65, 35
-, -, -
355, 77.8, 22.3
-, -, -
303, 66.1, 34
214, 65.8, 34.2
936, 75.4, 25.4
-, -, -
1.531, 72.6, 27.4
